"Name";"Source";"Size";"Type";"Alignment";"AC";"HP";"Speed";"Strength";"Dexterity";"Constitution";"Intelligence";"Wisdom";"Charisma";"Saving Throws";"Skills";"Damage Vulnerabilities";"Damage Resistances";"Damage Immunities";"Condition Immunities";"Senses";"Languages";"CR";"Traits";"Actions";"Bonus Actions";"Reactions";"Legendary Actions";"Mythic Actions";"Lair Actions";"Regional Effects";"Environment"
"Devourer";"VGM";"Large";"Fiend";"chaotic evil";"16 (natural armor)";"178 (17d10 + 85)";"30 ft.";"20";"12";"20";"13";"10";"16";"Nan";"Nan";"Nan";"cold, fire, lightning";"poison";"poisoned";"darkvision 120 ft., passive Perception 10";"Abyssal, telepathy 120 ft.";"13 (10,000 XP)";"Nan";" Multiattack. The devourer makes two claw attacks and can use either Imprison Soul or Soul Rend. Claw. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage plus 21 (6d6) necrotic damage. Imprison Soul. The devourer chooses a living humanoid with 0 hit points that it can see within 30 feet of it. That creature is teleported inside the devourer's ribcage and imprisoned there. A creature imprisoned in this manner has disadvantage on death saving throws. If it dies while imprisoned, the devourer regains 25 hit points, immediately recharges Soul Rend, and gains an additional action on its next turn. Additionally, at the start of its next turn, the devourer regurgitates the slain creature as a bonus action, and the creature becomes an undead. If the victim had 2 or fewer Hit Dice, it becomes a zombie. if it had 3 to 5 Hit Dice, it becomes a ghoul. Otherwise, it becomes a wight. A devourer can imprison only one creature at a time. Soul Rend (Recharge 6). The devourer creates a vortex of life-draining energy in a 20-foot radius centered on itself. Each humanoid in that area must make a DC 18 Constitution saving throw, taking 44 (8d10) necrotic damage on a failed save, or half as much damage on a successful one. Increase the damage by 10 for each living humanoid with 0 hit points in that area.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Underdark"
"Dhergoloth";"MPMM";"Medium";"Fiend (Yugoloth)";"neutral evil";"15 (natural armor)";"119 (14d8 + 56)";"30 ft.";"17";"10";"19";"7";"10";"9";"Str +6";"Nan";"Nan";"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks";"acid, poison";"poisoned";"blindsight 60 ft., darkvision 60 ft., passive Perception 10";"Abyssal, Infernal, telepathy 60 ft.";"7 (2,900 XP)";" Magic Resistance. The dhergoloth has advantage on saving throws against spells and other magical effects.";" Multiattack. The dhergoloth makes two Claw attacks. Claw. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 12 (2d8 + 3) force damage. Flailing Claws (Recharge 5–6). The dhergoloth moves up to its speed in a straight line and targets each creature within 5 feet of it during its movement. Each target must succeed on a DC 14 Dexterity saving throw or take 22 (3d12 + 3) force damage. Spellcasting. The dhergoloth casts one of the following spells, requiring no material components and using Charisma as the spellcasting ability (spell save DC 10):At will: darkness, fear Teleport. The dhergoloth teleports, along with any equipment it is wearing or carrying, up to 60 feet to an unoccupied space it can see.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Underdark"
"Dhergoloth";"MTF";"Medium";"Fiend (Yugoloth)";"neutral evil";"15 (natural armor)";"119 (14d8 + 56)";"30 ft.";"17";"10";"19";"7";"10";"9";"Str +6";"Nan";"Nan";"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks";"acid, poison";"poisoned";"blindsight 60 ft., darkvision 60 ft., passive Perception 10";"Abyssal, Infernal, telepathy 60 ft.";"7 (2,900 XP)";" Innate Spellcasting. The dhergoloth's innate spellcasting ability is Charisma (spell save DC 10). It can innately cast the following spells, requiring no material components:At will: darkness, fear3/day: sleep Magic Resistance. The dhergoloth has advantage on saving throws against spells and other magical effects. Magic Weapons. The dhergoloth's weapon attacks are magical.";" Multiattack. The dhergoloth makes two claw attacks. Claw. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 12 (2d8 + 3) slashing damage. Flailing Claws (Recharge 5–6). The dhergoloth moves up to its walking speed in a straight line and targets each creature within 5 feet of it during its movement. Each target must succeed on a DC 14 Dexterity saving throw or take 22 (3d12 + 3) slashing damage. Teleport. The dhergoloth magically teleports, along with any equipment it is wearing or carrying, up to 60 feet to an unoccupied space it can see.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Underdark"
"Dimetrodon";"MPMM";"Medium";"Beast (Dinosaur)";"unaligned";"12 (natural armor)";"19 (3d8 + 6)";"30 ft., swim 20 ft.";"14";"10";"15";"2";"10";"5";"Nan";"Perception +2";"Nan";"Nan";"Nan";"Nan";"passive Perception 12";"—";"1/4 (50 XP)";"Nan";" Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) piercing damage.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Coastal, Swamp"
"Dimetrodon";"VGM";"Medium";"Beast";"unaligned";"12 (natural armor)";"19 (3d8 + 6)";"30 ft., swim 20 ft.";"14";"10";"15";"2";"10";"5";"Nan";"Perception +2";"Nan";"Nan";"Nan";"Nan";"passive Perception 12";"—";"1/4 (50 XP)";"Nan";" Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) piercing damage.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Coastal, Swamp"
"Dire Troll";"MPMM";"Huge";"Giant";"chaotic evil";"15 (natural armor)";"172 (15d12 + 75)";"40 ft.";"22";"15";"21";"9";"11";"5";"Wis +5, Cha +2";"Perception +5";"Nan";"bludgeoning, piercing, and slashing from nonmagical attacks";"Nan";"frightened, poisoned";"darkvision 60 ft., passive Perception 15";"Giant";"13 (10,000 XP)";" Regeneration. The troll regains 10 hit points at the start of its turn. If the troll takes acid or fire damage, it regains only 5 hit points at the start of its next turn. The troll dies only if it is hit by an attack that deals 10 or more acid or fire damage while the troll has 0 hit points.";" Multiattack. The troll makes one Bite attack and four Claw attacks. Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 10 (1d8 + 6) piercing damage plus 5 (1d10) poison damage. Claws. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 16 (3d6 + 6) slashing damage. Whirlwind of Claws (Recharge 5–6). Each creature within 10 feet of the troll must make a DC 19 Dexterity saving throw, taking 44 (8d10) slashing damage on a failed save, or half as much damage on a successful one.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Arctic, Forest, Hill, Mountain, Underdark"
"Dire Troll";"MTF";"Huge";"Giant";"chaotic evil";"15 (natural armor)";"172 (15d12 + 75)";"40 ft.";"22";"15";"21";"9";"11";"5";"Wis +5, Cha +2";"Perception +5";"Nan";"bludgeoning, piercing, and slashing from nonmagical attacks";"Nan";"frightened, poisoned";"darkvision 60 ft., passive Perception 15";"Giant";"13 (10,000 XP)";" Keen Senses. The troll has advantage on Wisdom (Perception) checks that rely on smell or sight. Regeneration. The troll regains 10 hit points at the start of its turn. If the troll takes acid or fire damage, it regains only 5 hit points at the start of its next turn. The troll dies only if it is hit by an attack that deals 10 or more acid or fire damage while the troll has 0 hit points.";" Multiattack. The troll makes five attacks: one with its bite and four with its claws. Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 10 (1d8 + 6) piercing damage plus 5 (1d10) poison damage. Claws. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 16 (3d6 + 6) slashing damage. Whirlwind of Claws (Recharge 5–6). Each creature within 10 feet of the troll must make a DC 19 Dexterity saving throw, taking 44 (8d10) slashing damage on a failed save, or half as much damage on a successful one.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Arctic, Forest, Hill, Mountain, Underdark"
"Dire Wolf";"MM";"Large";"Beast";"unaligned";"14 (natural armor)";"37 (5d10 + 10)";"50 ft.";"17";"15";"15";"3";"12";"7";"Nan";"Perception +3, Stealth +4";"Nan";"Nan";"Nan";"Nan";"passive Perception 13";"—";"1 (200 XP)";" Keen Hearing and Smell. The wolf has advantage on Wisdom (Perception) checks that rely on hearing or smell. Pack Tactics. The wolf has advantage on an attack roll against a creature if at least one of the wolf's allies is within 5 feet of the creature and the ally isn't incapacitated.";" Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Forest, Hill"
"Displacer Beast";"MM";"Large";"Monstrosity";"lawful evil";"13 (natural armor)";"85 (10d10 + 30)";"40 ft.";"18";"15";"16";"6";"12";"8";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"darkvision 60 ft., passive Perception 11";"—";"3 (700 XP)";" Avoidance. If the displacer beast is subjected to an effect that allows it to make a saving throw to take only half damage, it instead takes no damage if it succeeds on the saving throw, and only half damage if it fails. Displacement. The displacer beast projects a magical illusion that makes it appear to be standing near its actual location, causing attack rolls against it to have disadvantage. If it is hit by an attack, this trait is disrupted until the end of its next turn. This trait is also disrupted while the displacer beast is incapacitated or has a speed of 0.";" Multiattack. The displacer beast makes two attacks with its tentacles. Tentacle. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 7 (1d6 + 4) bludgeoning damage plus 3 (1d6) piercing damage.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Forest"
"Diviner";"VGM";"Medium";"Humanoid (Any Race)";"any alignment";"12 (15 with mage armor)";"67 (15d8)";"30 ft.";"9";"14";"11";"18";"12";"11";"Int +7, Wis +4";"Arcana +7, History +7";"Nan";"Nan";"Nan";"Nan";"passive Perception 11";"any four languages";"8 (3,900 XP)";" Portent (Recharges after the Diviner Casts a Divination Spell of 1st Level or Higher). When the diviner or a creature it can see makes an attack roll, a saving throw, or an ability check, the diviner can roll a d20 and choose to use this roll in place of the attack roll, saving throw, or ability check. Spellcasting. The diviner is a 15th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 15, +7 to hit with spell attacks). The diviner has the following wizard spells prepared:Cantrips (at will): fire bolt, light, mage hand, message, true strike1st level (4 slots): detect magic*, feather fall, mage armor2nd level (3 slots): detect thoughts*, locate object*, scorching ray3rd level (3 slots): clairvoyance*, fly, fireball4th level (3 slots): arcane eye*, ice storm, stoneskin5th level (2 slots): Rary's telepathic bond*, seeming6th level (1 slot): mass suggestion, true seeing*7th level (1 slot): delayed blast fireball, teleport8th level (1 slot): maze* Divination spell of 1st level or higher";" Quarterstaff. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d6 - 1) bludgeoning damage, or 3 (1d8 - 1) bludgeoning damage if used with two hands.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Urban"
"Diviner Wizard";"MPMM";"Medium";"Humanoid";"any alignment";"12 (15 with mage armor)";"90 (20d8)";"30 ft.";"9";"14";"11";"18";"12";"11";"Int +7, Wis +4";"Arcana +7, History +7";"Nan";"Nan";"Nan";"Nan";"passive Perception 11";"any four languages";"8 (3,900 XP)";"Nan";" Multiattack. The diviner makes three Arcane Burst attacks. Arcane Burst. Melee or Ranged Spell Attack: +7 to hit, reach 5 ft. or range 120 ft., one target. Hit: 20 (3d10 + 4) radiant damage. Overwhelming Revelation (Recharge 5–6). The diviner magically creates a burst of illumination in a 10-foot-radius sphere centered on a point within 120 feet of it. Each creature in that area must make a DC 15 Wisdom saving throw. On a failed save, a creature takes 45 (10d8) psychic damage and is stunned until the end of the diviner's next turn. On a successful save, the creature takes half as much damage and isn't stunned. Spellcasting. The diviner casts one of the following spells, using Intelligence as the spellcasting ability (spell save DC 15):At will: mage hand, message, prestidigitation2/day each: arcane eye, detect magic, detect thoughts, fly, lightning bolt, locate object, mage armor, Rary's telepathic bond1/day: true seeing";"Nan";" Portent (3/Day). When the diviner or a creature it can see makes an attack roll, a saving throw, or an ability check, the diviner rolls a d20 and chooses whether to use that roll in place of the d20 rolled for the attack roll, saving throw, or ability check. ";"Nan";"Nan";"Nan";"Nan";"Urban"
"Djinni";"MM";"Large";"Elemental";"chaotic good";"17 (natural armor)";"161 (14d10 + 84)";"30 ft., fly 90 ft.";"21";"15";"22";"15";"16";"20";"Dex +6, Wis +7, Cha +9";"Nan";"Nan";"Nan";"lightning, thunder";"Nan";"darkvision 120 ft., passive Perception 13";"Auran";"11 (7,200 XP)";" Elemental Demise. If the djinni dies, its body disintegrates into a warm breeze, leaving behind only equipment the djinni was wearing or carrying. Innate Spellcasting. The djinni's innate spellcasting ability is Charisma (spell save DC 17, +9 to hit with spell attacks). It can innately cast the following spells, requiring no material components:At will: detect evil and good, detect magic, thunderwave3/day each: create food and water (can create wine instead of water), tongues, wind walk1/day each: conjure elemental (air elemental only), creation, gaseous form, invisibility, major image, plane shift";" Multiattack. The djinni makes three scimitar attacks. Scimitar. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage plus 3 (1d6) lightning or thunder damage (djinni's choice). Create Whirlwind. A 5-foot-radius, 30-foot-tall cylinder of swirling air magically forms on a point the djinni can see within 120 feet of it. The whirlwind lasts as long as the djinni maintains concentration (as if concentrating on a spell). Any creature but the djinni that enters the whirlwind must succeed on a DC 18 Strength saving throw or be restrained by it. The djinni can move the whirlwind up to 60 feet as an action, and creatures restrained by the whirlwind move with it. The whirlwind ends if the djinni loses sight of it.A creature can use its action to free a creature restrained by the whirlwind, including itself, by succeeding on a DC 18 Strength check. If the check succeeds, the creature is no longer restrained and moves to the nearest space outside the whirlwind.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Coastal"
